paisresidencia,genero,rangoedad,cantidad,transporte,parking,parkingrelpreciocal,dispcarritos,checkintiempespera,checkineficiencia,checkincortesia,ctrlpastiempoespera,ctrlpascortesia,segcortesia,segmeticulosidad,segtiempoespera,segsensacionprot,orientsenalizacion,orientpantallainfo,oientdistancia,orientfacilidconexion,instalcortesia,instalrestaurant,instalrestaurantrelpreciocal,instaldispbancoatm,instaltiendas,instaltiendasrelpreciocal,instalinternetwifi,instalsalasvip,instalbanosdisp,instalbanoslimpieza,instalcomodidadzonaespera,installimpiezageneral,instalambiente,satisfacciongeneral,controlpasaportes,rapidesentregaequipaje,controladuanero
Argentina, , ,8,3.250,0.000,0.000,3.125,3.000,3.250,2.875,3.250,2.750,3.125,3.250,3.750,3.250,3.750,3.750,3.750,0.000,2.625,2.000,2.125,2.250,1.500,1.875,3.875,1.750,4.125,4.000,4.000,4.125,4.125,4.250,3.000,2.375,0.875
Argentina, ,16 a 21,2,1.500,2.000,1.500,2.000,0.000,0.000,0.000,2.000,2.500,4.000,4.000,5.000,2.500,4.000,4.000,3.500,0.000,4.000,0.000,0.500,0.000,0.000,0.500,3.000,0.000,1.500,1.500,4.000,4.000,4.000,4.000,1.500,1.500,1.500
Argentina, ,22 a 25,1,3.000,0.000,0.000,0.000,3.000,3.000,3.000,0.000,0.000,3.000,4.000,0.000,0.000,0.000,4.000,4.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,3.000,3.000,3.000,4.000,3.000,3.000,0.000,0.000,0.000
Argentina, ,26 a 34,17,2.176,1.588,1.529,2.294,2.529,2.706,2.824,2.824,3.176,3.588,3.765,3.412,3.471,3.588,3.471,3.412,0.000,3.706,2.588,2.059,2.000,2.118,2.118,3.118,2.000,3.353,3.176,3.059,3.412,3.647,3.353,2.647,2.647,2.059
Argentina, ,35 a 44,6,1.000,0.167,0.333,1.000,3.167,3.000,3.000,4.000,4.500,3.667,4.167,3.833,4.167,3.500,4.000,3.667,0.833,4.333,2.500,2.667,0.833,0.667,0.833,4.000,0.000,3.500,2.667,3.833,3.500,3.500,4.000,2.500,3.000,2.333
Argentina, ,45 a 54,5,2.200,1.400,1.400,2.400,1.600,1.800,1.800,3.000,3.200,4.000,4.400,4.000,4.400,3.400,3.800,3.800,0.600,4.200,3.000,2.400,3.600,2.000,2.600,3.600,1.800,4.200,3.600,3.800,4.000,4.000,4.000,3.400,2.600,3.200
Argentina, ,55 a 64,5,0.600,0.000,0.000,2.200,2.400,2.400,2.400,1.400,2.000,3.200,2.400,2.600,2.600,3.400,3.000,2.400,0.000,2.800,2.000,1.600,0.800,2.000,1.400,3.800,0.800,2.600,2.600,2.400,3.200,3.000,3.400,1.800,1.400,1.000
Argentina, ,65 a 75,5,1.600,0.400,0.400,2.000,3.200,3.200,3.200,2.200,2.200,2.200,3.000,2.800,2.800,3.400,2.400,2.800,0.400,2.800,1.800,2.000,2.000,1.600,0.800,1.800,0.800,3.400,3.800,3.800,3.800,3.800,3.800,2.400,2.200,3.000
Argentina,Femenino, ,5,3.400,0.600,0.400,3.800,3.800,3.600,3.600,3.800,3.600,3.200,4.000,4.000,4.000,3.600,3.400,3.000,0.000,3.600,3.600,3.200,4.000,3.800,3.600,3.200,2.600,4.600,4.000,4.000,3.400,4.000,3.200,3.800,3.200,3.200
Argentina,Femenino,16 a 21,69,1.913,0.580,0.725,1.449,2.493,2.667,2.667,3.014,3.290,3.841,3.507,3.884,3.710,4.203,4.217,3.870,0.478,3.855,2.203,1.841,1.203,1.971,1.507,2.130,0.507,3.609,3.623,3.870,4.261,4.391,4.261,2.333,2.493,2.406
Argentina,Femenino,22 a 25,114,2.070,0.649,0.553,1.921,2.395,2.702,2.842,3.132,3.219,3.640,3.579,3.807,3.719,4.026,3.930,4.061,0.254,3.711,2.675,2.307,1.640,1.868,1.570,3.035,0.763,3.579,3.605,3.737,4.061,4.105,3.939,2.149,2.412,1.886
Argentina,Femenino,26 a 34,318,2.258,0.563,0.557,2.000,2.670,2.821,2.921,3.217,3.355,3.667,3.613,3.849,3.764,3.956,3.962,4.035,0.381,3.748,2.503,2.151,1.704,1.987,1.642,2.509,0.607,3.673,3.648,3.566,3.965,3.937,3.840,2.164,2.270,1.569
Argentina,Femenino,35 a 44,208,2.058,0.630,0.563,2.111,2.750,2.933,3.019,3.058,3.038,3.697,3.736,3.736,3.654,3.899,3.851,3.918,0.303,3.707,2.558,2.216,2.034,2.106,1.774,2.909,0.779,3.630,3.654,3.630,3.976,3.861,3.750,1.913,2.471,1.683
Argentina,Femenino,45 a 54,134,2.045,1.037,0.866,2.373,2.657,2.940,3.119,3.015,3.239,3.590,3.410,3.440,3.545,3.724,3.896,3.597,0.224,3.754,2.687,2.142,2.239,2.269,1.821,3.216,0.701,3.619,3.679,3.687,3.985,3.903,3.731,2.388,2.619,2.201
Argentina,Femenino,55 a 64,120,1.933,0.817,0.708,2.133,2.433,2.525,2.708,2.692,2.900,3.517,3.525,3.475,3.525,3.733,3.858,3.700,0.400,3.617,2.483,2.208,2.042,2.092,1.700,3.150,0.925,3.633,3.642,3.675,3.875,3.800,3.658,1.783,2.408,1.358
Argentina,Femenino,65 a 75,56,2.054,0.446,0.464,2.214,2.357,2.589,2.661,2.696,2.839,3.911,3.839,3.768,3.750,3.911,3.875,3.643,0.357,3.875,2.946,2.554,1.982,2.054,1.554,2.839,1.232,3.661,3.732,3.982,4.071,3.964,4.018,2.107,2.554,2.000
Argentina,Femenino,76 o mas,5,1.800,0.800,0.000,3.600,2.400,2.600,3.600,3.400,3.600,4.200,4.200,4.200,3.400,4.600,4.400,4.200,0.000,4.200,3.200,3.200,3.600,2.600,2.600,2.800,2.600,4.800,4.800,3.600,4.200,4.200,4.200,2.600,4.000,3.200
Argentina,Masculino, ,11,2.273,1.000,1.273,2.364,2.273,3.091,3.182,3.455,3.364,2.636,2.818,3.091,3.091,3.182,3.545,3.636,0.364,3.818,3.273,2.909,1.818,2.636,2.455,3.000,2.000,3.545,3.545,2.727,3.182,3.636,3.545,2.182,2.273,1.182
Argentina,Masculino,16 a 21,33,2.091,0.545,0.697,1.909,2.515,2.758,2.848,3.273,3.061,4.121,4.000,3.939,4.061,4.091,3.939,4.242,0.485,3.667,2.333,1.970,1.909,1.909,1.727,2.909,0.606,3.455,3.273,3.576,4.000,4.152,3.879,2.606,2.303,2.212
Argentina,Masculino,22 a 25,106,2.575,0.783,0.755,2.170,3.028,3.142,3.198,2.792,2.868,3.519,3.594,3.830,3.745,3.887,3.764,4.009,0.132,3.943,2.255,1.840,1.575,1.783,1.472,2.943,0.708,3.783,3.792,3.840,4.038,4.104,3.915,2.264,2.491,1.632
Argentina,Masculino,26 a 34,256,2.309,0.656,0.570,2.180,2.832,2.922,2.996,2.883,3.027,3.617,3.512,3.602,3.688,3.738,3.738,3.809,0.316,3.582,2.402,1.973,1.805,1.898,1.641,2.676,0.699,3.535,3.516,3.629,3.852,3.809,3.805,2.121,2.242,1.438
Argentina,Masculino,35 a 44,225,2.262,0.880,0.804,2.138,2.920,2.978,3.089,2.827,2.951,3.538,3.511,3.524,3.493,3.698,3.609,3.707,0.178,3.649,2.453,2.116,1.969,1.929,1.618,2.982,0.858,3.604,3.560,3.462,3.858,3.827,3.658,1.933,2.476,1.498
Argentina,Masculino,45 a 54,143,2.098,0.622,0.566,2.497,2.741,2.776,2.811,2.951,3.168,3.608,3.483,3.441,3.601,3.706,3.741,3.545,0.406,3.874,2.622,2.105,2.210,2.245,1.874,3.042,1.028,3.629,3.741,3.552,3.832,3.811,3.734,2.070,2.587,1.804
Argentina,Masculino,55 a 64,132,2.189,0.856,0.811,2.432,2.720,2.780,2.856,2.871,2.750,3.455,3.492,3.394,3.568,3.561,3.689,3.636,0.205,3.523,2.561,2.311,2.250,2.091,1.841,3.023,1.189,3.689,3.652,3.447,3.727,3.795,3.576,2.189,2.447,1.447
Argentina,Masculino,65 a 75,36,2.333,0.750,0.667,2.083,2.833,2.722,2.806,2.694,2.778,3.528,3.500,3.389,3.639,4.028,3.972,3.889,0.139,3.750,2.333,2.194,2.028,1.833,1.444,2.472,0.722,3.694,3.722,3.889,3.972,3.833,3.722,2.056,2.472,2.000
Argentina,Masculino,76 o mas,12,2.667,1.333,1.167,3.167,2.917,2.750,2.917,2.167,2.000,4.417,4.333,4.250,4.250,3.917,4.500,3.833,0.417,3.667,3.083,2.333,1.833,2.000,1.667,2.250,0.250,3.917,3.917,4.167,4.333,4.333,3.833,1.917,2.250,2.167
Extranjero, ,26 a 34,5,3.800,0.000,0.000,3.000,3.400,3.600,3.800,3.600,3.600,3.800,4.000,3.800,4.000,3.200,3.000,2.400,0.000,3.800,2.400,2.400,2.600,0.400,0.400,4.000,0.800,3.600,3.600,3.800,3.800,3.200,4.200,3.600,3.200,3.200
Extranjero, ,35 a 44,3,5.000,0.000,0.000,2.667,2.667,2.667,2.667,3.667,3.667,3.667,3.333,3.000,3.667,2.667,3.667,2.667,0.000,3.667,3.333,3.333,3.333,3.333,3.333,4.333,3.333,4.000,4.000,2.333,4.333,4.667,4.667,3.667,3.333,3.667
Extranjero, ,45 a 54,3,1.667,0.000,0.000,2.333,2.333,2.333,2.667,3.000,4.000,3.667,3.333,2.667,3.333,3.000,3.333,3.000,1.000,3.333,3.000,1.667,3.333,3.667,3.333,4.333,3.000,4.000,4.333,4.000,4.333,4.000,4.333,3.333,2.667,3.333
Extranjero, ,55 a 64,2,1.500,0.000,0.000,3.000,4.000,4.500,4.500,4.500,4.000,3.500,3.500,3.500,3.000,3.500,4.500,2.500,0.000,4.000,1.000,1.000,1.500,1.500,0.000,5.000,0.000,4.000,4.000,4.500,4.000,4.500,4.500,1.500,1.500,1.500
Extranjero,Femenino,16 a 21,14,1.714,0.643,0.500,2.571,2.929,3.000,3.071,4.071,4.214,4.214,4.357,4.357,4.286,4.214,3.714,4.357,1.357,4.143,2.714,2.500,2.000,2.071,1.714,4.143,1.000,4.429,4.000,4.214,4.429,4.071,4.500,3.000,3.071,3.500
Extranjero,Femenino,22 a 25,22,2.818,0.318,0.364,1.818,3.591,3.727,3.591,3.182,3.500,3.273,3.364,3.636,4.136,4.273,4.182,4.227,0.318,3.818,2.227,1.955,1.500,2.000,2.182,4.273,0.409,3.727,3.864,4.000,4.500,4.045,4.000,2.636,2.409,2.455
Extranjero,Femenino,26 a 34,61,2.984,0.246,0.230,1.852,3.131,3.295,3.426,3.426,3.705,3.820,3.672,3.984,3.869,3.754,4.000,4.016,0.115,3.738,2.197,2.131,1.787,1.852,1.672,3.770,0.607,3.672,3.787,3.557,4.098,4.098,3.918,2.721,2.672,2.557
Extranjero,Femenino,35 a 44,45,2.756,0.600,0.467,2.089,3.222,3.511,3.467,3.689,3.511,3.533,3.244,3.644,3.556,3.689,4.044,4.022,0.244,3.778,2.178,2.067,1.600,2.244,2.044,3.000,0.733,3.489,3.444,3.311,3.800,3.956,3.756,3.000,2.889,2.711
Extranjero,Femenino,45 a 54,32,2.438,0.344,0.469,1.906,3.281,3.438,3.594,3.688,3.656,3.781,3.406,3.656,3.719,3.969,3.938,3.688,0.313,3.625,1.938,1.969,1.844,1.781,1.719,3.688,0.531,3.438,3.344,3.563,3.781,3.813,3.750,3.344,3.406,3.156
Extranjero,Femenino,55 a 64,27,2.222,0.296,0.259,1.704,2.963,3.037,2.963,3.407,3.667,3.963,3.926,3.852,3.963,3.778,3.852,3.815,0.593,4.037,2.370,2.000,1.630,1.889,1.259,2.963,0.593,3.593,3.519,3.593,3.704,3.481,3.852,1.815,1.259,1.370
Extranjero,Femenino,65 a 75,9,2.444,0.000,0.000,2.778,3.444,3.333,3.222,3.222,3.222,4.222,3.778,3.556,3.778,4.333,4.000,4.000,0.333,3.889,3.222,3.222,2.111,1.667,0.667,1.667,0.000,2.444,2.667,3.667,4.444,4.444,3.889,2.889,2.889,2.556
Extranjero,Femenino,76 o mas,2,3.000,0.000,0.000,3.000,2.500,5.000,5.000,5.000,2.500,2.500,2.500,2.500,5.000,5.000,5.000,5.000,0.000,2.500,4.000,4.000,2.500,0.500,0.000,4.500,0.000,1.500,1.500,1.500,4.000,4.000,4.000,0.000,0.000,0.000
Extranjero,Masculino,16 a 21,14,2.857,1.143,1.000,2.071,3.357,3.357,3.429,3.571,3.786,4.143,4.143,4.214,3.714,4.500,4.214,4.143,0.643,4.214,3.714,3.143,1.500,2.071,2.000,2.857,1.286,4.286,3.857,4.143,4.571,4.500,4.143,2.571,2.857,3.357
Extranjero,Masculino,22 a 25,16,2.000,0.375,0.375,2.125,2.875,3.000,3.000,3.750,3.938,3.813,3.750,3.875,3.875,3.688,4.000,3.688,1.500,3.938,3.000,2.688,2.750,2.375,2.375,3.188,1.000,3.750,3.813,3.438,4.063,4.125,3.750,4.000,3.000,2.813
Extranjero,Masculino,26 a 34,62,2.468,0.516,0.452,2.032,3.000,3.226,3.323,3.661,3.823,3.629,3.435,3.887,3.677,3.661,3.774,3.806,0.468,3.790,2.597,2.129,1.694,2.032,1.629,3.548,0.742,3.677,3.516,3.532,3.919,3.903,3.710,2.742,2.516,2.419
Extranjero,Masculino,35 a 44,41,2.585,0.390,0.390,2.293,3.366,3.390,3.488,3.293,3.512,3.537,3.341,3.439,3.537,3.561,3.537,3.390,0.561,3.341,2.683,2.366,2.585,2.659,2.317,3.317,1.195,3.537,3.634,3.610,3.829,3.805,3.780,3.049,2.707,2.829
Extranjero,Masculino,45 a 54,26,2.808,0.769,0.769,2.538,2.423,3.000,2.808,3.154,3.423,3.654,3.577,3.385,3.385,3.538,3.808,3.500,0.269,3.538,3.038,2.577,1.923,2.231,1.731,2.923,1.385,3.731,3.808,3.538,4.038,4.000,3.885,2.769,2.731,2.500
Extranjero,Masculino,55 a 64,42,2.810,0.429,0.429,2.286,2.667,3.024,3.119,3.357,3.571,3.690,3.429,3.690,3.595,3.786,3.786,3.571,0.262,3.952,3.024,2.548,1.976,2.286,1.810,3.119,1.333,3.667,3.595,3.905,3.929,4.024,3.952,2.905,2.548,2.810
Extranjero,Masculino,65 a 75,15,1.800,0.400,0.600,1.867,3.200,3.667,3.533,3.400,3.867,3.667,3.933,3.667,4.200,3.400,3.400,3.733,0.933,3.200,2.467,2.067,1.667,1.867,1.600,3.133,1.133,4.067,4.133,3.667,4.067,4.067,3.733,2.400,2.800,2.533
Extranjero,Masculino,76 o mas,2,2.500,0.000,0.000,2.500,2.000,2.500,2.500,5.000,4.500,4.500,4.500,4.500,5.000,5.000,5.000,4.500,2.500,4.500,2.500,2.500,0.000,2.500,2.500,2.500,0.000,5.000,2.500,5.000,5.000,4.500,4.500,2.500,2.500,2.500
No informado, , ,2,2.000,0.000,0.000,4.500,2.000,2.000,2.000,2.000,2.000,2.500,2.500,5.000,5.000,5.000,5.000,2.500,0.000,2.000,2.000,2.000,4.500,2.500,2.000,4.500,2.000,4.000,2.500,4.000,4.000,4.000,2.000,2.000,2.000,2.000
No informado, ,16 a 21,1,3.000,0.000,2.000,1.000,2.000,2.000,5.000,0.000,0.000,5.000,4.000,4.000,4.000,4.000,4.000,3.000,0.000,4.000,2.000,2.000,0.000,0.000,1.000,0.000,0.000,4.000,4.000,4.000,5.000,5.000,3.000,5.000,2.000,2.000
No informado, ,65 a 75,2,4.000,0.000,0.000,4.500,2.500,2.500,2.000,4.000,5.000,2.000,2.000,4.000,4.500,4.500,2.000,4.500,0.000,4.500,4.500,2.500,2.000,2.000,2.000,4.500,0.000,5.000,5.000,4.500,4.500,4.500,2.500,2.500,2.500,2.500
No informado,Femenino,35 a 44,2,1.500,0.000,0.000,0.000,4.000,2.000,2.000,2.000,2.000,4.000,4.500,4.000,4.500,4.000,4.500,3.500,1.000,4.500,4.000,4.000,0.000,1.500,1.000,0.000,0.000,1.500,1.500,3.500,3.500,3.500,3.500,2.000,1.500,2.000
No informado,Femenino,55 a 64,2,2.500,0.000,0.000,3.500,3.500,2.000,4.000,4.000,3.500,4.000,2.000,1.000,3.500,3.000,2.500,3.500,2.000,3.000,2.500,2.000,3.000,1.500,0.000,3.500,1.500,4.000,3.500,3.500,4.500,4.500,2.000,0.000,0.500,1.000
No informado,Masculino,26 a 34,2,2.500,0.000,0.000,3.500,5.000,5.000,5.000,2.500,2.500,3.000,5.000,5.000,5.000,5.000,5.000,5.000,2.500,5.000,5.000,3.500,2.500,5.000,3.500,5.000,2.500,5.000,5.000,5.000,5.000,2.500,4.500,0.000,2.000,2.500
No informado,Masculino,35 a 44,5,0.000,0.000,0.000,2.400,3.400,3.400,3.400,3.600,3.600,3.200,3.200,3.200,3.200,4.000,3.800,2.800,3.400,3.800,3.400,3.000,1.600,2.400,2.200,3.200,0.000,4.000,4.400,4.000,4.200,4.400,4.400,3.400,2.600,2.800
No informado,Masculino,55 a 64,2,4.000,0.000,0.000,0.000,2.000,3.500,3.500,3.000,2.000,4.000,3.500,3.500,3.500,3.500,3.500,3.500,0.000,4.500,3.500,3.500,1.500,3.500,3.000,2.000,2.000,4.000,4.000,3.500,3.500,3.500,3.500,3.000,0.000,1.500
